id_lancamento;data_lancamento;competencia;centro_custo;projeto;unidade;fornecedor;cnpj;categoria;subcategoria;tipo_documento;numero_documento;descricao;quantidade;valor_unitario;valor_total;moeda;forma_pagamento;status_pagamento;aprovador
1035;10/10/2024;2024-10;Engenharia;Saneamento pe;Belo Horizonte; Logisway Transportes;2,82176E+13;Materiais;Cimento;Di;437655;Cimento referente a Saneamento PE  ;4.0;462.36;1849.44;EUR;CARTÃO;Em análise;Fernanda Nunes
1177;15/03/2024;2024-03;Financeiro;;Porto Alegre;Metalúrgica Phoenix;3,06079E+14;TI;Cloud;NFS-e  ;;Cloud referente a Translado Offshore;3.0;158,78;476,34;BRL;Boleto;Aprovado;Fernanda Nunes
68;11/06/2022;2022-06;COMPRAS;Usina Solar MG;Natal;Logisway Transportes;6,44096E+14;Locação;Galpão;NF-e;501853;Galpão referente a Usina Solar MG;20.0;523.0;7910.93;BRL;Pix;Rejeitado;Fernanda Nunes
1331;12/09/2023;2023-09;Administrativo;Eólicas NE;Manaus;Hotelaria Nordeste;1,17603E+11;Pessoal;Recrutamento;NF-e;811960;;2.0;466.65;933.3;USD;TED;Rejeitado  ; Fernanda Nunes
651;25/01/2023;2023-01;Logística;Linha 4 Metro SP;Curitiba;Metalúrgica Phoenix;3,08357E+14;Segurança;Alarmes;Recibo;124279;Alarmes referente a Linha 4 Metro SP;5.0;696.45;3482.25;BRL; nan;Aprovado;Carla Lima
1869;14/01/2024;2024-01;Obras;Ferrovias Centro-Oeste;Manaus;Hotelaria Nordeste;75.154.206/1006-08;Energia;Eletricidade;Recibo  ;292421;;2.0;1332.34;2664.68;BRL;Cartão;APROVADO; Fernanda Nunes
987;28/03/2025;2025-03;Segurança;Refinaria RN;;Companhia de Máquinas Orion;4,40022E+13; Viagens;Traslados;Di;564512;Traslados referente a Refinaria RN;4.0;532.56;2130.24;BRL;Caixa  ;Pago;Paulo Andrade
553;07/05/2023;2023-05;Manutenção;Ponte Amazônia;Porto Alegre  ;Oficina do Aço;8,38314E+13;Segurança;Brigada;Recibo;603635; nan;1.0;398.84;398.84;BRL;Boleto;Em análise  ;Marta Souza
1428;20/02/2024;2024-02;Manutenção; Eólicas NE;Natal;Metalúrgica Phoenix;5,43575E+11;Pessoal; Treinamento;NF-e;376358;Treinamento referente a Eólicas NE;2.0;669,1;1338,2;BRL;Boleto;Aprovado;Marta Souza
1669;05/06/2024;2024-06;Manutenção;Refinaria RN; Belo Horizonte;GeoMap Engenharia;2,31985E+11;Locação;Veículos; NF-e;185587;Veículos referente a Refinaria RN;3.0;126.54;379.62;BRL;TED;Aprovado;
1575;02/06/2024;2024-06;Engenharia;Ponte Amazônia;Manaus;Constrular LTDA  ;7,49926E+13;Segurança;Monitoramento;Recibo;474038;Monitoramento referente a Ponte Amazônia;1.0;159.47;159.47;BRL; TED;Pago; Marta Souza
1318;28/12/2023;2023-12;Logística;Ponte amazônia;Brasília;Companhia de Máquinas Orion;2,5903E+14;Segurança;Alarmes; NFS-e;597992;Alarmes referente a Ponte Amazônia;1.0;555.03;555.03;BRL;Cartão;PAGO;Renato Leal
495;27/01/2025;2025-01;Manutenção;Ferrovias Centro-Oeste;Salvador  ;GLOBAL TOOLS BRASIL;4,92797E+14;SERVIÇOS;Topografia;Boleto;342254;Topografia referente a Ferrovias Centro-Oeste;3.0;131.13;;USD;Ted;Pendente;
1979;16/08/2024;2024-08;Administrativo;;Porto Alegre;Global Tools Brasil  ;1,88512E+14;Materiais;Tubulações;Boleto;536763;Tubulações referente a Eólicas NE;5.0;984.97;4924.85;BRL;Caixa;Rejeitado;Marta Souza  
1761;28/07/2024;2024-07;RH;PONTE AMAZÔNIA;Brasília;Oficina do Aço;3,75907E+13;SEGURANÇA;Alarmes;Recibo;560837;Alarmes referente a Ponte Amazônia  ;3.0;196.31;588.93;BRL;PIX;Rejeitado;Fernanda Nunes
866;22/04/2024;2024-04;Engenharia; Saneamento PE;Natal;Topografia Silva ME;03.343.861/0805-13;Serviços;Terceirização;Di;702236;Terceirização referente a Saneamento PE;1.0;628.54;628.54;BRL;;Pago  ;João Pereira
530;09/06/2024;2024-06;RH;Translado Offshore;Natal;CONSTRULAR LTDA;6,06779E+14;Logística;Despacho  ;Boleto;696087; Despacho referente a Translado Offshore;1.0;7320.44;640.01;EUR;Cartão;Pago; João Pereira
1502;01/06/2025;2025-06;Compras;TRANSLADO OFFSHORE;Curitiba;Oficina do Aço;7,91332E+11;Consultoria;;NF-e;;ENGENHARIA REFERENTE A TRANSLADO OFFSHORE;3.0;371.74;nan;USD;PIX;Pendente;Renato Leal
71;27/09/2022;2022-09;Financeiro;DataCenter Recife; São Paulo;Consultoria Delta;1,4273E+13;Viagens; Diárias;Recibo;522087;Diárias referente a DataCenter Recife;3.0;;640.47;BRL;PIX;Pago;Fernanda Nunes
1849;19/01/2023;2023-01;Obras;PONTE AMAZÔNIA; Brasília;Oficina do Aço;4,43221E+11;Logística;Armazenagem;NF-e;392370; Armazenagem referente a Ponte Amazônia;1.0;840.93;;EUR;Boleto;Pendente; Bruno Araújo
1449;09/01/2024;2024-09;TI;Linha 4 Metro SP; Salvador; Constrular LTDA;94.626.495/5378-18;Logística;Despacho;Di;384618;Despacho referente a linha 4 metro sp;;503.78;503.78;USD;Cartão;Aprovado;Bruno Araújo
572;29/06/2025;2025-06;OBRAS;FERROVIAS CENTRO-OESTE;Natal;Oficina do Aço;8,28803E+14;Viagens;Passagens;Di;335368;Passagens referente a Ferrovias Centro-Oeste – URGENTE;5.0;226.07;1130.35;BRL;;Em análise;Paulo andrade
421;01/08/2025;2025-08;Financeiro;Saneamento PE;São Paulo;Oficina do aço;95.728.038/7980-82;Segurança  ;Vigilância;NFS-e;716974;Vigilância referente a Saneamento PE – URGENTE;;;3106.55;BRL;Caixa;Em análise;Bruno araújo
949;10/03/2024;2024-03;Segurança;Ferrovias Centro-Oeste;Salvador;Logisway Transportes;2,5988E+11;Consultoria  ;Jurídica  ;NF-e;566804;Jurídica referente a Ferrovias Centro-Oeste;10.0;1533.03;15330.3;EUR;Caixa;Pago;Fernanda nunes
1421;21/11/2023;2023-11;Obras;Saneamento PE;Brasília;Metalúrgica Phoenix  ;1,68293E+13;SEGURANÇA;Treinamento;Boleto;420012;Treinamento referente a Saneamento PE;3.0;733.69;2201.07;BRL;Cartão;PENDENTE;Bruno Araújo
383;02/04/2024;2024-04;Compras;Ferrovias Centro-Oeste;Porto Alegre;Logisway Transportes;1,87907E+11;Consultoria;Ambiental;Di;348880;Ambiental referente a Ferrovias Centro-Oeste;5.0;448.72;2243.6;USD;Caixa;Pago  ;Renato Leal
1194;12/02/2025;2025-02;Administrativo;Nan;Fortaleza; Alfa Energia S.A.;8,00065E+14;Serviços;Limpeza;Boleto;990434;Limpeza referente a DataCenter Recife;3.0;831.21;2493.63;EUR;Boleto;Pago;Renato Leal
1572;07/03/2024;2024-03;Manutenção;Refinaria RN;Fortaleza;Constrular LTDA;6,398E+13; Viagens;DIÁRIAS;Recibo;588714;Diárias referente a Refinaria RN;1.0;83.29;83.29;BRL;Boleto;Em análise;Bruno Araújo
1193;22/12/2023;2023-12;Logística;Saneamento pe;Nan;Alfa Energia S.A.;8,77045E+14;Serviços;Topografia;NF-e;750868;Topografia referente a Saneamento PE;3.0;708.2;2124.6;BRL;TED;Em análise;João Pereira
584;28/05/2025;2025-05;TI;Ponte Amazônia;Porto Alegre;Transportes Atlântico;82.497.076/0995-01;Consultoria;Engenharia;Boleto;;Engenharia referente a Ponte Amazônia;4.0;198.92;795.68;EUR;Caixa;Aprovado;Carla Lima  
52;19/07/2023;2023-07;Logística;Saneamento PE; Belo Horizonte; Logisway Transportes;4,43553E+14;Segurança; Brigada;Boleto;231098;Brigada referente a Saneamento PE;4.0;215.67;862.68;BRL;CAIXA;Rejeitado;Bruno Araújo
1445;12/08/2024;2024-08;Administrativo  ;Ferrovias Centro-Oeste;Manaus; GeoMap Engenharia;80.287.177/1726-83;Serviços;Montagem;NF-e;787884; Montagem referente a Ferrovias Centro-Oeste;;627.49;12549.8;BRL; PIX;Rejeitado;Renato Leal
1288;06/11/2024;2024-11;Engenharia;Eólicas NE; Natal;Companhia de Máquinas Orion;2,23885E+11;Logística;Armazenagem;Di;713642;;;592.83;1778.49;BRL;Caixa; Pago;Carla Lima
